순번,정류장명,위도,경도, 
104,향산리 용호원,36.75831804 ,126.90765734 , 
105,와산1리,36.76178802 ,126.91782732 , 
109,돈포2리 마을회관,36.77616930 ,126.84791660 , 
110,돈포1리,36.77578920 ,126.84110100 , 
111,돈포2리마을회관,36.77630050 ,126.84801630 , 
112,가산2리 가래기,36.82455570 ,126.86250820 , 
115,월랑1리 새텃말,36.84992790 ,127.07894070 , 
117,대흥1리,36.81384141 ,126.87148733 , 
120,군덕3리,36.77464420 ,126.86342150 , 
121,돈포2리,36.77628020 ,126.85088530 , 
122,열장원,36.77434950 ,126.85975410 , 
123,군덕3리,36.77466307 ,126.86360401 , 
127,가산2리 개나리,36.82848470 ,126.85890410 , 
129,신문리회관,36.82499580 ,126.85302950 , 
130,신문리 돌채,36.82126640 ,126.85269080 , 
131,선문대학교,36.80033000 ,127.07105000 , 
133,가산1리 용당,36.81631250 ,126.85592790 , 
135,궁평1리,36.81459150 ,126.85608250 , 
137,궁평2리,36.80967700 ,126.85979190 , 
139,삼선초등학교,36.80371990 ,126.86698000 , 
141,대흥4리각골,36.80929639 ,126.86884903 , 
144,궁평3리회관,36.79883471 ,126.86554404 , 
146,대흥3리,36.79626930 ,126.86613340 , 
150,선장면사무소,36.79097974 ,126.86168070 , 
152,군덕복지회관,36.78971480 ,126.86091400 , 
157,선장초등학교,36.78774640 ,126.86413234 , 
162,군덕2리회관,36.78311280 ,126.86247730 , 
163,군덕2리,36.77985620 ,126.86287410 , 
167,문방삼거리,36.86574240 ,126.87240030 , 
168,문방삼거리,36.86577760 ,126.87223170 , 
169,문방1리 장어촌,36.86415637 ,126.87060067 , 
170,문방1리 장어촌,36.86419141 ,126.87052737 , 
171,문방1리 방아다리,36.85867637 ,126.86308902 , 
172,문방2리 방축머리,36.85709639 ,126.86017905 , 
174,대음1리 나룻말,36.85553010 ,126.85724800 , 
175,대음1리 한뿌리,36.85056070 ,126.85513600 , 
176,대음1리 한뿌리,36.85025580 ,126.85544140 , 
177,현대자동차기숙사,36.84653050 ,126.85833280 , 
178,대음리,36.84341790 ,126.86287880 , 
179,문방삼거리,36.86618637 ,126.87273067 , 
180,문방1리 세밑마루,36.86219340 ,126.86763670 , 
181,문방1리 방아다리,36.85897970 ,126.86335904 , 
182,문방2리 방축머리,36.85723490 ,126.86096030 , 
183,대음1리 나룻말,36.85475137 ,126.85584905 , 
184,현대자동차기숙사,36.84643970 ,126.85822140 , 
185,현대차사원아파트,36.84567460 ,126.85877070 , 
189,해암2리,36.82817971 ,126.89594234 , 
190,해암2리,36.82806139 ,126.89652567 , 
191,해암1리,36.82995200 ,126.88810840 , 
192,미진아파트,36.83137300 ,126.88399280 , 
193,미진아파트,36.83243830 ,126.88429820 , 
194,해암3리,36.83871540 ,126.88226280 , 
195,해암3리,36.83881060 ,126.88236300 , 
